iteration,model,Class,Precision,Recall,F1-score,Model,AUC,Accuracy
iter1,clinicalbert_transformer,0,0.7239,0.4335,0.5423,,,
iter1,clinicalbert_transformer,1,0.3309,0.7303,0.4555,,,
iter1,clinicalbert_transformer,2,0.2208,0.0627,0.0977,,,
iter1,clinicalbert_transformer,Accuracy,0.4705,,,,,
iter1,clinicalbert_transformer,MacroAUC,0.6055,,,,,
iter1,clinicalbert_transformer,MicroAUC,0.5776,,,,,
iter1,gru,0,0.7637457044673539,0.5394417475728155,0.6322901849217639,,,
iter1,gru,1,0.3551251008878127,0.623229461756374,0.4524421593830334,,,
iter1,gru,2,0.1623931623931624,0.1342756183745583,0.1470019342359768,,,
iter1,gru,Accuracy,0.5183921122487676,,,,,
iter1,gru,MacroAUC,0.6522450591489322,,,,,
iter1,gru,MicroAUC,0.6607610203905249,,,,,
iter1,gru_multiclass,0,0.7348,0.1462,0.2439,,,
iter1,gru_multiclass,1,0.4039,0.1459,0.2144,,,
iter1,gru_multiclass,2,0.1212,0.8799,0.2131,,,
iter1,lstm,0,0.6633906633906634,0.6553398058252428,0.6593406593406593,,,
iter1,lstm,1,0.3577235772357723,0.2492917847025495,0.2938230383973289,,,
iter1,lstm,2,0.1508704061895551,0.2756183745583039,0.195,,,
iter1,lstm,Accuracy,0.5058778915434206,,,,,
iter1,lstm,MacroAUC,0.6048490456457385,,,,,
iter1,lstm,MicroAUC,0.6284848907117853,,,,,
iter1,tabular_rf,0,0.6860611134365844,0.678113363673976,0.6820640865584686,,,
iter1,tabular_rf,1,0.4078826764436297,0.3938053097345133,0.4007203962179199,,,
iter1,tabular_rf,2,0.2309090909090909,0.2629399585921325,0.2458857696030977,,,
iter1,tabular_rf,Accuracy,0.5486352357320099,,,,,
iter1,tabular_rf,MacroAUC,0.6537146972593584,,,,,
iter1,tabular_xgb,0,0.7914691943127962,0.0690939180802647,0.1270928462709284,,,
iter1,tabular_xgb,1,0.3113138686131387,0.7548672566371681,0.4408268733850129,,,
iter1,tabular_xgb,2,0.1436515291936978,0.3209109730848861,0.1984635083226632,,,
iter1,tabular_xgb,Accuracy,0.2915632754342431,,,,,
iter1,tabular_xgb,MacroAUC,0.5703326088595289,,,,,
iter1,tfidf,0,0.8053097345132744,0.6696100073583517,0.7312173563680193,,,
iter1,tfidf,1,0.5218543046357615,0.652317880794702,0.5798381162619574,,,
iter1,tfidf,2,0.3325,0.4130434782608695,0.3684210526315789,,,
iter1,tfidf,Accuracy,0.6288840262582057,,,,,
iter1,tfidf,MacroAUC,0.7772171340704582,,,,,
iter1,transformer,0,0.8181818181818182,0.0054611650485436,0.0108499095840868,,,
iter1,transformer,1,0.254054054054054,0.1331444759206798,0.174721189591078,,,
iter1,transformer,2,0.1192375886524822,0.950530035335689,0.2118944466325324,,,
iter1,transformer,Accuracy,0.1410693970420933,,,,,
iter1,transformer,MacroAUC,0.5690889930505536,,,,,
iter1,transformer,MicroAUC,0.3872994630681576,,,,,
iter10,clinicalbert_transformer,0,0.734,0.5117,0.603,,,
iter10,clinicalbert_transformer,1,0.35,0.6994,0.4665,,,
iter10,clinicalbert_transformer,2,0.1754,0.0385,0.0631,,,
iter10,clinicalbert_transformer,Accuracy,0.5098,,,,,
iter10,clinicalbert_transformer,MacroAUC,0.623,,,,,
iter10,clinicalbert_transformer,MicroAUC,0.6062,,,,,
iter10,gru,0,0.6671732522796353,0.2663834951456311,0.3807458803122289,,,
iter10,gru,1,0.3491379310344827,0.1147308781869688,0.1727078891257995,,,
iter10,gru,2,0.1230681167716084,0.7597173144876325,0.2118226600985221,,,
iter10,gru,Accuracy,0.2787258248009101,,,,,
iter10,gru,MacroAUC,0.571035901136696,,,,,
iter10,gru,MicroAUC,0.5265562100207815,,,,,
iter10,lstm,0,0.6666666666666666,0.6262135922330098,0.6458072590738423,,,
iter10,lstm,1,0.3262955854126679,0.2407932011331444,0.2770986145069274,,,
iter10,lstm,2,0.1619718309859155,0.3250883392226148,0.2162162162162162,,,
iter10,lstm,Accuracy,0.490709139173303,,,,,
iter10,lstm,MacroAUC,0.572409803863926,,,,,
iter10,lstm,MicroAUC,0.6134629292402437,,,,,
iter10,tabular_rf,0,0.6997270245677889,0.629038854805726,0.6625026922248546,,,
iter10,tabular_rf,1,0.3904682274247492,0.4257064721969006,0.4073266463148713,,,
iter10,tabular_rf,2,0.2200328407224959,0.2906724511930585,0.2504672897196262,,,
iter10,tabular_rf,Accuracy,0.5343492380714464,,,,,
iter10,tabular_rf,MacroAUC,0.6459737522759639,,,,,
iter10,tabular_xgb,0,0.768025078369906,0.1002044989775051,0.1772793053545586,,,
iter10,tabular_xgb,1,0.3041599135602377,0.5132178669097539,0.3819538670284939,,,
iter10,tabular_xgb,2,0.1653027823240589,0.6572668112798264,0.2641673931996512,,,
iter10,tabular_xgb,Accuracy,0.277541843617287,,,,,
iter10,tabular_xgb,MacroAUC,0.592189785632134,,,,,
iter10,tfidf,0,0.8217317487266553,0.6969042476601872,0.7541877678223607,,,
iter10,tfidf,1,0.5511049723756906,0.6435483870967742,0.59375,,,
iter10,tfidf,2,0.3076923076923077,0.4189189189189189,0.3547925608011445,,,
iter10,tfidf,Accuracy,0.6468546637744035,,,,,
iter10,tfidf,MacroAUC,0.7870758570361995,,,,,
iter10,transformer,0,0.7150837988826816,0.1553398058252427,0.2552342971086739,,,
iter10,transformer,1,0.0,0.0,0.0,,,
iter10,transformer,2,0.1140851250548486,0.9187279151943464,0.2029664324746292,,,
iter10,transformer,Accuracy,0.1956769055745165,,,,,
iter10,transformer,MacroAUC,0.5504350085574937,,,,,
iter10,transformer,MicroAUC,0.496919080861041,,,,,
iter11,clinicalbert_transformer,0,0.7208,0.4648,0.5651,,,
iter11,clinicalbert_transformer,1,0.336,0.7281,0.4598,,,
iter11,clinicalbert_transformer,2,0.2432,0.0331,0.0583,,,
iter11,clinicalbert_transformer,Accuracy,0.4857,,,,,
iter11,clinicalbert_transformer,MacroAUC,0.6158,,,,,
iter11,clinicalbert_transformer,MicroAUC,0.5968,,,,,
iter11,gru,0,0.6921278254091972,0.5388349514563107,0.6059365404298874,,,
iter11,gru,1,0.3215962441314554,0.5821529745042493,0.4143145161290322,,,
iter11,gru,2,0.1973684210526315,0.0530035335689045,0.0835654596100278,,,
iter11,gru,Accuracy,0.4982935153583617,,,,,
iter11,gru,MacroAUC,0.5974772511145514,,,,,
iter11,gru,MicroAUC,0.6860594952176294,,,,,
iter11,lstm,0,0.6569659442724458,0.6438106796116505,0.6503217897640209,,,
iter11,lstm,1,0.3333333333333333,0.2308781869688385,0.2728033472803347,,,
iter11,lstm,2,0.1557223264540337,0.293286219081272,0.2034313725490196,,,
iter11,lstm,Accuracy,0.4956389836935912,,,,,
iter11,lstm,MacroAUC,0.5759036999683352,,,,,
iter11,lstm,MicroAUC,0.5819718055057624,,,,,
iter11,tabular_rf,0,0.7002640845070423,0.6493877551020408,0.6738670055061414,,,
iter11,tabular_rf,1,0.3889816360601001,0.4171888988361683,0.4025917926565874,,,
iter11,tabular_rf,2,0.2406143344709897,0.2883435582822086,0.2623255813953488,,,
iter11,tabular_rf,Accuracy,0.5419132149901381,,,,,
iter11,tabular_rf,MacroAUC,0.6581342410202087,,,,,
iter11,tabular_xgb,0,0.8363636363636363,0.0375510204081632,0.071875,,,
iter11,tabular_xgb,1,0.2815533980582524,0.88272157564906,0.4269322364148084,,,
iter11,tabular_xgb,2,0.1396396396396396,0.1267893660531697,0.1329046087888531,,,
iter11,tabular_xgb,Accuracy,0.2810650887573964,,,,,
iter11,tabular_xgb,MacroAUC,0.5478112001441686,,,,,
iter11,tfidf,0,0.8311345646437994,0.6852791878172588,0.7511923688394276,,,
iter11,tfidf,1,0.5652173913043478,0.6853035143769968,0.6194945848375452,,,
iter11,tfidf,2,0.2951219512195122,0.4019933554817276,0.340365682137834,,,
iter11,tfidf,Accuracy,0.6483087597571553,,,,,
iter11,tfidf,MacroAUC,0.7831462766882824,,,,,
iter11,transformer,0,0.7270194986072424,0.158373786407767,0.2600896860986547,,,
iter11,transformer,1,0.2726075504828797,0.8796033994334278,0.4162198391420911,,,
iter11,transformer,2,0.0,0.0,0.0,,,
iter11,transformer,Accuracy,0.3344709897610921,,,,,
iter11,transformer,MacroAUC,0.5493443704988232,,,,,
iter11,transformer,MicroAUC,0.6255445428227484,,,,,
iter12,clinicalbert_transformer,0,0.6471,0.6914,0.6685,,,
iter12,clinicalbert_transformer,1,0.3515,0.3471,0.3493,,,
iter12,clinicalbert_transformer,2,0.2011,0.1377,0.1634,,,
iter12,clinicalbert_transformer,Accuracy,0.5301,,,,,
iter12,clinicalbert_transformer,MacroAUC,0.5904,,,,,
iter12,clinicalbert_transformer,MicroAUC,0.6863,,,,,
iter12,gru,0,0.7619387027797576,0.6486650485436893,0.700753851196329,,,
iter12,gru,1,0.4258517034068136,0.6019830028328612,0.4988262910798122,,,
iter12,gru,2,0.2330508474576271,0.1943462897526501,0.2119460500963391,,,
iter12,gru,Accuracy,0.5874099355328024,,,,,
iter12,gru,MacroAUC,0.6942848868611144,,,,,
iter12,gru,MicroAUC,0.7645452056287747,,,,,
iter12,lstm,0,0.6504683840749415,0.6741504854368932,0.6620977353992848,,,
iter12,lstm,1,0.3508064516129032,0.1232294617563739,0.1823899371069182,,,
iter12,lstm,2,0.1541850220264317,0.3710247349823322,0.2178423236514522,,,
iter12,lstm,Accuracy,0.4941221084565794,,,,,
iter12,lstm,MacroAUC,0.582071145514492,,,,,
iter12,lstm,MicroAUC,0.5969454119053998,,,,,
iter12,tabular_rf,0,0.6852444038373686,0.6366723259762309,0.6600660066006601,,,
iter12,tabular_rf,1,0.3887530562347188,0.412987012987013,0.4005037783375315,,,
iter12,tabular_rf,2,0.2160148975791433,0.2624434389140271,0.236976506639428,,,
iter12,tabular_rf,Accuracy,0.5294712876296483,,,,,
iter12,tabular_rf,MacroAUC,0.6425127565373545,,,,,
iter12,tabular_xgb,0,0.7739130434782608,0.0377758913412563,0.0720356131121003,,,
iter12,tabular_xgb,1,0.3078602620087336,0.8545454545454545,0.4526484751203852,,,
iter12,tabular_xgb,2,0.1582278481012658,0.2262443438914027,0.186219739292365,,,
iter12,tabular_xgb,Accuracy,0.2974955729825449,,,,,
iter12,tabular_xgb,MacroAUC,0.5695354349330811,,,,,
iter12,tfidf,0,0.8252516010978957,0.664701547531319,0.7363265306122448,,,
iter12,tfidf,1,0.523153942428035,0.6709470304975923,0.5879043600562588,,,
iter12,tfidf,2,0.3009950248756219,0.3853503184713376,0.3379888268156424,,,
iter12,tfidf,Accuracy,0.6281604184829991,,,,,
iter12,tfidf,MacroAUC,0.7794998517999668,,,,,
iter12,transformer,0,0.7372654155495979,0.1668689320388349,0.2721425037110341,,,
iter12,transformer,1,0.0,0.0,0.0,,,
iter12,transformer,2,0.1210247349823321,0.9681978798586572,0.2151550844130349,,,
iter12,transformer,Accuracy,0.2081911262798634,,,,,
iter12,transformer,MacroAUC,0.5664577336274687,,,,,
iter12,transformer,MicroAUC,0.521684355635052,,,,,
iter13,clinicalbert_transformer,0,0.6541,0.7595,0.7029,,,
iter13,clinicalbert_transformer,1,0.3627,0.2233,0.2764,,,
iter13,clinicalbert_transformer,2,0.1505,0.1556,0.153,,,
iter13,clinicalbert_transformer,Accuracy,0.5444,,,,,
iter13,clinicalbert_transformer,MacroAUC,0.5728,,,,,
iter13,clinicalbert_transformer,MicroAUC,0.6961,,,,,
iter13,gru,0,0.7665615141955836,0.1474514563106796,0.2473282442748091,,,
iter13,gru,1,0.3800904977375565,0.2379603399433427,0.2926829268292683,,,
iter13,gru,2,0.1187433439829606,0.7879858657243817,0.2063859324386858,,,
iter13,gru,Accuracy,0.2404247250663632,,,,,
iter13,gru,MacroAUC,0.6049773321370008,,,,,
iter13,gru,MicroAUC,0.468904165496438,,,,,
iter13,lstm,0,0.6762672811059908,0.712378640776699,0.693853427895981,,,
iter13,lstm,1,0.4075,0.2308781869688385,0.294755877034358,,,
iter13,lstm,2,0.1457085828343313,0.2579505300353357,0.1862244897959183,,,
iter13,lstm,Accuracy,0.534698521046644,,,,,
iter13,lstm,MacroAUC,0.6085261989213161,,,,,
iter13,lstm,MicroAUC,0.6714494326745684,,,,,
iter13,tabular_rf,0,0.6825543729754743,0.6374243733794296,0.659217877094972,,,
iter13,tabular_rf,1,0.4122011541632316,0.4295532646048109,0.4206983592763988,,,
iter13,tabular_rf,2,0.2455830388692579,0.3008658008658009,0.2704280155642023,,,
iter13,tabular_rf,Accuracy,0.5365482233502538,,,,,
iter13,tabular_rf,MacroAUC,0.652349310565508,,,,,
iter13,tabular_xgb,0,0.6842105263157895,0.0674157303370786,0.1227380015735641,,,
iter13,tabular_xgb,1,0.3066725585505965,0.5962199312714777,0.4050189670265538,,,
iter13,tabular_xgb,2,0.175983436853002,0.551948051948052,0.2668759811616955,,,
iter13,tabular_xgb,Accuracy,0.2804568527918781,,,,,
iter13,tabular_xgb,MacroAUC,0.5745494519881579,,,,,
iter13,tfidf,0,0.8176211453744493,0.6783625730994152,0.7415101877746704,,,
iter13,tfidf,1,0.5149051490514905,0.6343906510851419,0.5684367988032909,,,
iter13,tfidf,2,0.3002481389578164,0.3915857605177993,0.3398876404494382,,,
iter13,tfidf,Accuracy,0.6278558875219684,,,,,
iter13,tfidf,MacroAUC,0.7729380888696099,,,,,
iter13,transformer,0,1.0,0.0006067961165048,0.0012128562765312,,,
iter13,transformer,1,0.2791878172588832,0.1558073654390935,0.2,,,
iter13,transformer,2,0.1199821587867975,0.950530035335689,0.213069306930693,,,
iter13,transformer,Accuracy,0.1441031475161168,,,,,
iter13,transformer,MacroAUC,0.5556728813655866,,,,,
iter13,transformer,MicroAUC,0.3868358296054988,,,,,
iter14,clinicalbert_transformer,0,0.6951,0.5856,0.6357,,,
iter14,clinicalbert_transformer,1,0.3705,0.6016,0.4586,,,
iter14,clinicalbert_transformer,2,0.2165,0.0769,0.1135,,,
iter14,clinicalbert_transformer,Accuracy,0.5292,,,,,
iter14,clinicalbert_transformer,MacroAUC,0.6053,,,,,
iter14,clinicalbert_transformer,MicroAUC,0.6723,,,,,
iter14,gru,0,0.645737855178735,0.8549757281553398,0.7357702349869452,,,
iter14,gru,1,0.3993808049535604,0.1827195467422096,0.2507288629737609,,,
iter14,gru,2,0.1742424242424242,0.0812720848056537,0.1108433734939759,,,
iter14,gru,Accuracy,0.5919605612438377,,,,,
iter14,gru,MacroAUC,0.5779915749801826,,,,,
iter14,gru,MicroAUC,0.7133304615094348,,,,,
iter14,lstm,0,0.6928183464091732,0.6966019417475728,0.6947049924357035,,,
iter14,lstm,1,0.4169054441260745,0.4121813031161473,0.4145299145299145,,,
iter14,lstm,2,0.1879432624113475,0.1872791519434629,0.1876106194690265,,,
iter14,lstm,Accuracy,0.5657944634053849,,,,,
iter14,lstm,MacroAUC,0.6382810921846783,,,,,
iter14,lstm,MicroAUC,0.6965877785126311,,,,,
iter14,tabular_rf,0,0.6753950338600452,0.6262034323984931,0.6498696785403997,,,
iter14,tabular_rf,1,0.3928571428571428,0.4150943396226415,0.4036697247706422,,,
iter14,tabular_rf,2,0.2142857142857142,0.2611336032388664,0.2354014598540146,,,
iter14,tabular_rf,Accuracy,0.520869350456903,,,,,
iter14,tabular_rf,MacroAUC,0.6315659442674441,,,,,
iter14,tabular_xgb,0,0.8099173553719008,0.0410213478442863,0.0780876494023904,,,
iter14,tabular_xgb,1,0.2998278829604131,0.7469982847341338,0.4279046917219356,,,
iter14,tabular_xgb,2,0.1231671554252199,0.2550607287449393,0.1661173368490441,,,
iter14,tabular_xgb,Accuracy,0.2704371449740677,,,,,
iter14,tabular_xgb,MacroAUC,0.5475245045413465,,,,,
iter14,tfidf,0,0.813529921942758,0.6994780014914244,0.7522052927024859,,,
iter14,tfidf,1,0.5658263305322129,0.6392405063291139,0.600297176820208,,,
iter14,tfidf,2,0.2995169082125604,0.4025974025974026,0.3434903047091412,,,
iter14,tfidf,Accuracy,0.6427005699254713,,,,,
iter14,tfidf,MacroAUC,0.7888015786253265,,,,,
iter14,transformer,0,0.7351485148514851,0.1802184466019417,0.2894736842105263,,,
iter14,transformer,1,0.0,0.0,0.0,,,
iter14,transformer,2,0.1213613972234661,0.9575971731448764,0.2154213036565977,,,
iter14,transformer,Accuracy,0.2153962836556693,,,,,
iter14,transformer,MacroAUC,0.5366986165282593,,,,,
iter14,transformer,MicroAUC,0.5132640658612617,,,,,
iter15,clinicalbert_transformer,0,0.7283,0.5201,0.6068,,,
iter15,clinicalbert_transformer,1,0.3562,0.7091,0.4742,,,
iter15,clinicalbert_transformer,2,0.2632,0.0372,0.0651,,,
iter15,clinicalbert_transformer,Accuracy,0.5152,,,,,
iter15,clinicalbert_transformer,MacroAUC,0.6292,,,,,
iter15,clinicalbert_transformer,MicroAUC,0.6444,,,,,
iter15,gru,0,0.7825278810408922,0.5109223300970874,0.618208516886931,,,
iter15,gru,1,0.4794303797468354,0.4291784702549575,0.452914798206278,,,
iter15,gru,2,0.1851453175457481,0.607773851590106,0.2838283828382838,,,
iter15,gru,Accuracy,0.4994311717861205,,,,,
iter15,gru,MacroAUC,0.693643818205859,,,,,
iter15,gru,MicroAUC,0.7117193927494572,,,,,
iter15,lstm,0,0.6926829268292682,0.4308252427184466,0.5312383090160868,,,
iter15,lstm,1,0.3212435233160621,0.3512747875354107,0.3355886332882273,,,
iter15,lstm,2,0.144047619047619,0.4275618374558304,0.2154942119323241,,,
iter15,lstm,Accuracy,0.4091770951839211,,,,,
iter15,lstm,MacroAUC,0.5942333867081419,,,,,
iter15,lstm,MicroAUC,0.5295822668253719,,,,,
iter15,tabular_rf,0,0.6903344021988089,0.6204199258954303,0.6535125758889853,,,
iter15,tabular_rf,1,0.384310618066561,0.4221061792863359,0.4023226876814599,,,
iter15,tabular_rf,2,0.238095238095238,0.3018108651911468,0.2661934338952972,,,
iter15,tabular_rf,Accuracy,0.5256441717791411,,,,,
iter15,tabular_rf,MacroAUC,0.6511535835648411,,,,,
iter15,tabular_xgb,0,0.7375565610859729,0.0671058048579662,0.1230188679245283,,,
iter15,tabular_xgb,1,0.2970690511674118,0.5204525674499565,0.3782416192283365,,,
iter15,tabular_xgb,2,0.1683867463335144,0.6237424547283702,0.2651839178785286,,,
iter15,tabular_xgb,Accuracy,0.2628220858895705,,,,,
iter15,tabular_xgb,MacroAUC,0.5674004516529657,,,,,
iter15,tfidf,0,0.82,0.6716306775874907,0.738436348751535,,,
iter15,tfidf,1,0.5274869109947644,0.6552845528455284,0.5844815083393764,,,
iter15,tfidf,2,0.2864197530864197,0.3729903536977492,0.3240223463687151,,,
iter15,tfidf,Accuracy,0.626267078007933,,,,,
iter15,tfidf,MacroAUC,0.7749508438874092,,,,,
iter15,transformer,0,0.6445366528354081,0.2827669902912621,0.3930830873049346,,,
iter15,transformer,1,0.0,0.0,0.0,,,
iter15,transformer,2,0.1212121212121212,0.8197879858657244,0.2111970869367319,,,
iter15,transformer,Accuracy,0.2646947288585514,,,,,
iter15,transformer,MacroAUC,0.546804725037981,,,,,
iter15,transformer,MicroAUC,0.5396999454540409,,,,,
iter16,clinicalbert_transformer,0,0.6575,0.7442,0.6982,,,
iter16,clinicalbert_transformer,1,0.3814,0.3594,0.3701,,,
iter16,clinicalbert_transformer,2,0.1935,0.0886,0.1215,,,
iter16,clinicalbert_transformer,Accuracy,0.5611,,,,,
iter16,clinicalbert_transformer,MacroAUC,0.5943,,,,,
iter16,clinicalbert_transformer,MicroAUC,0.7101,,,,,
iter16,gru,0,0.8055555555555556,0.1407766990291262,0.2396694214876033,,,
iter16,gru,1,0.3407079646017699,0.3271954674220963,0.3338150289017341,,,
iter16,gru,2,0.1310592459605027,0.773851590106007,0.2241555783009212,,,
iter16,gru,Accuracy,0.2586272279105043,,,,,
iter16,gru,MacroAUC,0.5910445728061384,,,,,
iter16,gru,MicroAUC,0.4464659381121231,,,,,
iter16,lstm,0,0.6732429099876696,0.662621359223301,0.6678899082568808,,,
iter16,lstm,1,0.4317617866004963,0.2464589235127478,0.3137962128043282,,,
iter16,lstm,2,0.1454248366013072,0.3144876325088339,0.1988826815642458,,,
iter16,lstm,Accuracy,0.5138414865377323,,,,,
iter16,lstm,MacroAUC,0.6200521917732297,,,,,
